QueryId System Rank Precision Recall
1 Cosine 1 1 0.2
1 Cosine 2 0.5 0.2
1 Cosine 3 0.33 0.2
1 Cosine 4 0.25 0.2
1 Cosine 5 0.2 0.2
1 Cosine 6 0.16 0.2
1 Cosine 7 0.28 0.4
1 Cosine 8 0.25 0.4
1 Cosine 9 0.22 0.4
1 Cosine 10 0.3 0.6
1 Cosine 11 0.27 0.6
1 Cosine 12 0.25 0.6
1 Cosine 13 0.3 0.8
1 Cosine 14 0.28 0.8
1 Cosine 15 0.26 0.8
1 Cosine 16 0.25 0.8
1 Cosine 17 0.23 0.8
1 Cosine 18 0.22 0.8
1 Cosine 19 0.21 0.8
1 Cosine 20 0.2 0.8
1 Cosine 21 0.19 0.8
1 Cosine 22 0.18 0.8
1 Cosine 23 0.17 0.8
1 Cosine 24 0.16 0.8
1 Cosine 25 0.16 0.8
1 Cosine 26 0.15 0.8
1 Cosine 27 0.14 0.8
1 Cosine 28 0.14 0.8
1 Cosine 29 0.13 0.8
1 Cosine 30 0.13 0.8
1 Cosine 31 0.12 0.8
1 Cosine 32 0.12 0.8
1 Cosine 33 0.12 0.8
1 Cosine 34 0.11 0.8
1 Cosine 35 0.11 0.8
1 Cosine 36 0.11 0.8
1 Cosine 37 0.1 0.8
1 Cosine 38 0.1 0.8
1 Cosine 39 0.1 0.8
1 Cosine 40 0.1 0.8
1 Cosine 41 0.09 0.8
1 Cosine 42 0.09 0.8
1 Cosine 43 0.09 0.8
1 Cosine 44 0.09 0.8
1 Cosine 45 0.08 0.8
1 Cosine 46 0.08 0.8
1 Cosine 47 0.08 0.8
1 Cosine 48 0.08 0.8
1 Cosine 49 0.08 0.8
1 Cosine 50 0.08 0.8
1 Cosine 51 0.07 0.8
1 Cosine 52 0.07 0.8
1 Cosine 53 0.07 0.8
1 Cosine 54 0.07 0.8
1 Cosine 55 0.07 0.8
1 Cosine 56 0.07 0.8
1 Cosine 57 0.07 0.8
1 Cosine 58 0.06 0.8
1 Cosine 59 0.06 0.8
1 Cosine 60 0.06 0.8
1 Cosine 61 0.06 0.8
1 Cosine 62 0.06 0.8
1 Cosine 63 0.06 0.8
1 Cosine 64 0.06 0.8
1 Cosine 65 0.06 0.8
1 Cosine 66 0.06 0.8
1 Cosine 67 0.05 0.8
1 Cosine 68 0.05 0.8
1 Cosine 69 0.05 0.8
1 Cosine 70 0.05 0.8
1 Cosine 71 0.05 0.8
1 Cosine 72 0.05 0.8
1 Cosine 73 0.05 0.8
1 Cosine 74 0.05 0.8
1 Cosine 75 0.05 0.8
1 Cosine 76 0.05 0.8
1 Cosine 77 0.05 0.8
1 Cosine 78 0.05 0.8
1 Cosine 79 0.05 0.8
1 Cosine 80 0.05 0.8
1 Cosine 81 0.04 0.8
1 Cosine 82 0.04 0.8
1 Cosine 83 0.04 0.8
1 Cosine 84 0.04 0.8
1 Cosine 85 0.04 0.8
1 Cosine 86 0.04 0.8
1 Cosine 87 0.04 0.8
1 Cosine 88 0.04 0.8
1 Cosine 89 0.04 0.8
1 Cosine 90 0.04 0.8
1 Cosine 91 0.04 0.8
1 Cosine 92 0.04 0.8
1 Cosine 93 0.04 0.8
1 Cosine 94 0.04 0.8
1 Cosine 95 0.04 0.8
1 Cosine 96 0.04 0.8
1 Cosine 97 0.04 0.8
1 Cosine 98 0.04 0.8
1 Cosine 99 0.04 0.8
1 Cosine 100 0.04 0.8
2 Cosine 1 1 0.33
2 Cosine 2 1 0.66
2 Cosine 3 1 1
2 Cosine 4 0.75 1
2 Cosine 5 0.6 1
2 Cosine 6 0.5 1
2 Cosine 7 0.42 1
2 Cosine 8 0.37 1
2 Cosine 9 0.33 1
2 Cosine 10 0.3 1
2 Cosine 11 0.27 1
2 Cosine 12 0.25 1
2 Cosine 13 0.23 1
2 Cosine 14 0.21 1
2 Cosine 15 0.2 1
2 Cosine 16 0.18 1
2 Cosine 17 0.17 1
2 Cosine 18 0.16 1
2 Cosine 19 0.15 1
2 Cosine 20 0.15 1
2 Cosine 21 0.14 1
2 Cosine 22 0.13 1
2 Cosine 23 0.13 1
2 Cosine 24 0.12 1
2 Cosine 25 0.12 1
2 Cosine 26 0.11 1
2 Cosine 27 0.11 1
2 Cosine 28 0.1 1
2 Cosine 29 0.1 1
2 Cosine 30 0.1 1
2 Cosine 31 0.09 1
2 Cosine 32 0.09 1
2 Cosine 33 0.09 1
2 Cosine 34 0.08 1
2 Cosine 35 0.08 1
2 Cosine 36 0.08 1
2 Cosine 37 0.08 1
2 Cosine 38 0.07 1
2 Cosine 39 0.07 1
2 Cosine 40 0.07 1
2 Cosine 41 0.07 1
2 Cosine 42 0.07 1
2 Cosine 43 0.06 1
2 Cosine 44 0.06 1
2 Cosine 45 0.06 1
2 Cosine 46 0.06 1
2 Cosine 47 0.06 1
2 Cosine 48 0.06 1
2 Cosine 49 0.06 1
2 Cosine 50 0.06 1
2 Cosine 51 0.05 1
2 Cosine 52 0.05 1
2 Cosine 53 0.05 1
2 Cosine 54 0.05 1
2 Cosine 55 0.05 1
2 Cosine 56 0.05 1
2 Cosine 57 0.05 1
2 Cosine 58 0.05 1
2 Cosine 59 0.05 1
2 Cosine 60 0.05 1
2 Cosine 61 0.04 1
2 Cosine 62 0.04 1
2 Cosine 63 0.04 1
2 Cosine 64 0.04 1
2 Cosine 65 0.04 1
2 Cosine 66 0.04 1
2 Cosine 67 0.04 1
2 Cosine 68 0.04 1
2 Cosine 69 0.04 1
2 Cosine 70 0.04 1
2 Cosine 71 0.04 1
2 Cosine 72 0.04 1
2 Cosine 73 0.04 1
2 Cosine 74 0.04 1
2 Cosine 75 0.04 1
2 Cosine 76 0.03 1
2 Cosine 77 0.03 1
2 Cosine 78 0.03 1
2 Cosine 79 0.03 1
2 Cosine 80 0.03 1
2 Cosine 81 0.03 1
2 Cosine 82 0.03 1
2 Cosine 83 0.03 1
2 Cosine 84 0.03 1
2 Cosine 85 0.03 1
2 Cosine 86 0.03 1
2 Cosine 87 0.03 1
2 Cosine 88 0.03 1
2 Cosine 89 0.03 1
2 Cosine 90 0.03 1
2 Cosine 91 0.03 1
2 Cosine 92 0.03 1
2 Cosine 93 0.03 1
2 Cosine 94 0.03 1
2 Cosine 95 0.03 1
2 Cosine 96 0.03 1
2 Cosine 97 0.03 1
2 Cosine 98 0.03 1
2 Cosine 99 0.03 1
2 Cosine 100 0.03 1
3 Cosine 1 0 0
3 Cosine 2 0 0
3 Cosine 3 0 0
3 Cosine 4 0 0
3 Cosine 5 0 0
3 Cosine 6 0 0
3 Cosine 7 0 0
3 Cosine 8 0 0
3 Cosine 9 0 0
3 Cosine 10 0 0
3 Cosine 11 0 0
3 Cosine 12 0 0
3 Cosine 13 0 0
3 Cosine 14 0 0
3 Cosine 15 0 0
3 Cosine 16 0 0
3 Cosine 17 0 0
3 Cosine 18 0 0
3 Cosine 19 0 0
3 Cosine 20 0 0
3 Cosine 21 0 0
3 Cosine 22 0 0
3 Cosine 23 0 0
3 Cosine 24 0 0
3 Cosine 25 0 0
3 Cosine 26 0 0
3 Cosine 27 0 0
3 Cosine 28 0 0
3 Cosine 29 0 0
3 Cosine 30 0 0
3 Cosine 31 0 0
3 Cosine 32 0 0
3 Cosine 33 0.03 0.16
3 Cosine 34 0.02 0.16
3 Cosine 35 0.02 0.16
3 Cosine 36 0.02 0.16
3 Cosine 37 0.02 0.16
3 Cosine 38 0.02 0.16
3 Cosine 39 0.02 0.16
3 Cosine 40 0.02 0.16
3 Cosine 41 0.02 0.16
3 Cosine 42 0.02 0.16
3 Cosine 43 0.02 0.16
3 Cosine 44 0.02 0.16
3 Cosine 45 0.02 0.16
3 Cosine 46 0.02 0.16
3 Cosine 47 0.04 0.33
3 Cosine 48 0.04 0.33
3 Cosine 49 0.04 0.33
3 Cosine 50 0.04 0.33
3 Cosine 51 0.03 0.33
3 Cosine 52 0.03 0.33
3 Cosine 53 0.03 0.33
3 Cosine 54 0.03 0.33
3 Cosine 55 0.03 0.33
3 Cosine 56 0.03 0.33
3 Cosine 57 0.05 0.5
3 Cosine 58 0.05 0.5
3 Cosine 59 0.05 0.5
3 Cosine 60 0.05 0.5
3 Cosine 61 0.04 0.5
3 Cosine 62 0.04 0.5
3 Cosine 63 0.04 0.5
3 Cosine 64 0.04 0.5
3 Cosine 65 0.04 0.5
3 Cosine 66 0.04 0.5
3 Cosine 67 0.04 0.5
3 Cosine 68 0.04 0.5
3 Cosine 69 0.04 0.5
3 Cosine 70 0.04 0.5
3 Cosine 71 0.04 0.5
3 Cosine 72 0.04 0.5
3 Cosine 73 0.04 0.5
3 Cosine 74 0.04 0.5
3 Cosine 75 0.04 0.5
3 Cosine 76 0.03 0.5
3 Cosine 77 0.03 0.5
3 Cosine 78 0.03 0.5
3 Cosine 79 0.03 0.5
3 Cosine 80 0.03 0.5
3 Cosine 81 0.03 0.5
3 Cosine 82 0.03 0.5
3 Cosine 83 0.03 0.5
3 Cosine 84 0.03 0.5
3 Cosine 85 0.03 0.5
3 Cosine 86 0.03 0.5
3 Cosine 87 0.03 0.5
3 Cosine 88 0.03 0.5
3 Cosine 89 0.03 0.5
3 Cosine 90 0.03 0.5
3 Cosine 91 0.03 0.5
3 Cosine 92 0.03 0.5
3 Cosine 93 0.03 0.5
3 Cosine 94 0.03 0.5
3 Cosine 95 0.03 0.5
3 Cosine 96 0.03 0.5
3 Cosine 97 0.03 0.5
3 Cosine 98 0.03 0.5
3 Cosine 99 0.03 0.5
3 Cosine 100 0.03 0.5
4 Cosine 1 1 0.08
4 Cosine 2 0.5 0.08
4 Cosine 3 0.66 0.16
4 Cosine 4 0.5 0.16
4 Cosine 5 0.4 0.16
4 Cosine 6 0.33 0.16
4 Cosine 7 0.28 0.16
4 Cosine 8 0.25 0.16
4 Cosine 9 0.22 0.16
4 Cosine 10 0.2 0.16
4 Cosine 11 0.18 0.16
4 Cosine 12 0.16 0.16
4 Cosine 13 0.15 0.16
4 Cosine 14 0.14 0.16
4 Cosine 15 0.13 0.16
4 Cosine 16 0.12 0.16
4 Cosine 17 0.11 0.16
4 Cosine 18 0.11 0.16
4 Cosine 19 0.1 0.16
4 Cosine 20 0.1 0.16
4 Cosine 21 0.09 0.16
4 Cosine 22 0.09 0.16
4 Cosine 23 0.08 0.16
4 Cosine 24 0.08 0.16
4 Cosine 25 0.08 0.16
4 Cosine 26 0.07 0.16
4 Cosine 27 0.07 0.16
4 Cosine 28 0.07 0.16
4 Cosine 29 0.06 0.16
4 Cosine 30 0.06 0.16
4 Cosine 31 0.09 0.25
4 Cosine 32 0.09 0.25
4 Cosine 33 0.09 0.25
4 Cosine 34 0.08 0.25
4 Cosine 35 0.08 0.25
4 Cosine 36 0.08 0.25
4 Cosine 37 0.08 0.25
4 Cosine 38 0.07 0.25
4 Cosine 39 0.07 0.25
4 Cosine 40 0.07 0.25
4 Cosine 41 0.07 0.25
4 Cosine 42 0.07 0.25
4 Cosine 43 0.06 0.25
4 Cosine 44 0.06 0.25
4 Cosine 45 0.06 0.25
4 Cosine 46 0.06 0.25
4 Cosine 47 0.06 0.25
4 Cosine 48 0.06 0.25
4 Cosine 49 0.06 0.25
4 Cosine 50 0.06 0.25
4 Cosine 51 0.05 0.25
4 Cosine 52 0.05 0.25
4 Cosine 53 0.05 0.25
4 Cosine 54 0.05 0.25
4 Cosine 55 0.05 0.25
4 Cosine 56 0.05 0.25
4 Cosine 57 0.05 0.25
4 Cosine 58 0.05 0.25
4 Cosine 59 0.05 0.25
4 Cosine 60 0.05 0.25
4 Cosine 61 0.04 0.25
4 Cosine 62 0.04 0.25
4 Cosine 63 0.04 0.25
4 Cosine 64 0.04 0.25
4 Cosine 65 0.04 0.25
4 Cosine 66 0.04 0.25
4 Cosine 67 0.04 0.25
4 Cosine 68 0.04 0.25
4 Cosine 69 0.04 0.25
4 Cosine 70 0.04 0.25
4 Cosine 71 0.04 0.25
4 Cosine 72 0.04 0.25
4 Cosine 73 0.04 0.25
4 Cosine 74 0.04 0.25
4 Cosine 75 0.04 0.25
4 Cosine 76 0.03 0.25
4 Cosine 77 0.05 0.33
4 Cosine 78 0.05 0.33
4 Cosine 79 0.05 0.33
4 Cosine 80 0.05 0.33
4 Cosine 81 0.04 0.33
4 Cosine 82 0.04 0.33
4 Cosine 83 0.04 0.33
4 Cosine 84 0.04 0.33
4 Cosine 85 0.04 0.33
4 Cosine 86 0.04 0.33
4 Cosine 87 0.05 0.41
4 Cosine 88 0.05 0.41
4 Cosine 89 0.05 0.41
4 Cosine 90 0.05 0.41
4 Cosine 91 0.05 0.41
4 Cosine 92 0.05 0.41
4 Cosine 93 0.05 0.41
4 Cosine 94 0.05 0.41
4 Cosine 95 0.05 0.41
4 Cosine 96 0.06 0.5
4 Cosine 97 0.06 0.5
4 Cosine 98 0.06 0.5
4 Cosine 99 0.06 0.5
4 Cosine 100 0.06 0.5
5 Cosine 1 0 0
5 Cosine 2 0 0
5 Cosine 3 0.33 0.12
5 Cosine 4 0.5 0.25
5 Cosine 5 0.4 0.25
5 Cosine 6 0.33 0.25
5 Cosine 7 0.28 0.25
5 Cosine 8 0.25 0.25
5 Cosine 9 0.22 0.25
5 Cosine 10 0.2 0.25
5 Cosine 11 0.18 0.25
5 Cosine 12 0.16 0.25
5 Cosine 13 0.15 0.25
5 Cosine 14 0.14 0.25
5 Cosine 15 0.13 0.25
5 Cosine 16 0.12 0.25
5 Cosine 17 0.11 0.25
5 Cosine 18 0.11 0.25
5 Cosine 19 0.1 0.25
5 Cosine 20 0.1 0.25
5 Cosine 21 0.09 0.25
5 Cosine 22 0.09 0.25
5 Cosine 23 0.08 0.25
5 Cosine 24 0.12 0.37
5 Cosine 25 0.12 0.37
5 Cosine 26 0.11 0.37
5 Cosine 27 0.11 0.37
5 Cosine 28 0.1 0.37
5 Cosine 29 0.1 0.37
5 Cosine 30 0.1 0.37
5 Cosine 31 0.09 0.37
5 Cosine 32 0.09 0.37
5 Cosine 33 0.09 0.37
5 Cosine 34 0.08 0.37
5 Cosine 35 0.08 0.37
5 Cosine 36 0.08 0.37
5 Cosine 37 0.08 0.37
5 Cosine 38 0.07 0.37
5 Cosine 39 0.07 0.37
5 Cosine 40 0.07 0.37
5 Cosine 41 0.07 0.37
5 Cosine 42 0.07 0.37
5 Cosine 43 0.09 0.5
5 Cosine 44 0.09 0.5
5 Cosine 45 0.08 0.5
5 Cosine 46 0.08 0.5
5 Cosine 47 0.08 0.5
5 Cosine 48 0.08 0.5
5 Cosine 49 0.08 0.5
