QueryId System Rank Precision Recall
1 Lucene_BM25 1 0 0
1 Lucene_BM25 2 0 0
1 Lucene_BM25 3 0 0
1 Lucene_BM25 4 0 0
1 Lucene_BM25 5 0 0
1 Lucene_BM25 6 0.16 0.2
1 Lucene_BM25 7 0.14 0.2
1 Lucene_BM25 8 0.12 0.2
1 Lucene_BM25 9 0.11 0.2
1 Lucene_BM25 10 0.1 0.2
1 Lucene_BM25 11 0.09 0.2
1 Lucene_BM25 12 0.08 0.2
1 Lucene_BM25 13 0.07 0.2
1 Lucene_BM25 14 0.07 0.2
1 Lucene_BM25 15 0.06 0.2
1 Lucene_BM25 16 0.06 0.2
1 Lucene_BM25 17 0.05 0.2
1 Lucene_BM25 18 0.05 0.2
1 Lucene_BM25 19 0.05 0.2
1 Lucene_BM25 20 0.05 0.2
1 Lucene_BM25 21 0.04 0.2
1 Lucene_BM25 22 0.09 0.4
1 Lucene_BM25 23 0.08 0.4
1 Lucene_BM25 24 0.08 0.4
1 Lucene_BM25 25 0.08 0.4
1 Lucene_BM25 26 0.07 0.4
1 Lucene_BM25 27 0.07 0.4
1 Lucene_BM25 28 0.07 0.4
1 Lucene_BM25 29 0.06 0.4
1 Lucene_BM25 30 0.06 0.4
1 Lucene_BM25 31 0.06 0.4
1 Lucene_BM25 32 0.06 0.4
1 Lucene_BM25 33 0.06 0.4
1 Lucene_BM25 34 0.05 0.4
1 Lucene_BM25 35 0.05 0.4
1 Lucene_BM25 36 0.05 0.4
1 Lucene_BM25 37 0.05 0.4
1 Lucene_BM25 38 0.05 0.4
1 Lucene_BM25 39 0.05 0.4
1 Lucene_BM25 40 0.05 0.4
1 Lucene_BM25 41 0.04 0.4
1 Lucene_BM25 42 0.04 0.4
1 Lucene_BM25 43 0.04 0.4
1 Lucene_BM25 44 0.04 0.4
1 Lucene_BM25 45 0.04 0.4
1 Lucene_BM25 46 0.04 0.4
1 Lucene_BM25 47 0.04 0.4
1 Lucene_BM25 48 0.04 0.4
1 Lucene_BM25 49 0.04 0.4
1 Lucene_BM25 50 0.04 0.4
1 Lucene_BM25 51 0.03 0.4
1 Lucene_BM25 52 0.03 0.4
1 Lucene_BM25 53 0.03 0.4
1 Lucene_BM25 54 0.03 0.4
1 Lucene_BM25 55 0.03 0.4
1 Lucene_BM25 56 0.03 0.4
1 Lucene_BM25 57 0.03 0.4
1 Lucene_BM25 58 0.03 0.4
1 Lucene_BM25 59 0.03 0.4
1 Lucene_BM25 60 0.03 0.4
1 Lucene_BM25 61 0.04 0.6
1 Lucene_BM25 62 0.04 0.6
1 Lucene_BM25 63 0.04 0.6
1 Lucene_BM25 64 0.04 0.6
1 Lucene_BM25 65 0.04 0.6
1 Lucene_BM25 66 0.04 0.6
1 Lucene_BM25 67 0.04 0.6
1 Lucene_BM25 68 0.04 0.6
1 Lucene_BM25 69 0.04 0.6
1 Lucene_BM25 70 0.04 0.6
1 Lucene_BM25 71 0.04 0.6
1 Lucene_BM25 72 0.04 0.6
1 Lucene_BM25 73 0.04 0.6
1 Lucene_BM25 74 0.04 0.6
1 Lucene_BM25 75 0.04 0.6
1 Lucene_BM25 76 0.03 0.6
1 Lucene_BM25 77 0.03 0.6
1 Lucene_BM25 78 0.03 0.6
1 Lucene_BM25 79 0.03 0.6
1 Lucene_BM25 80 0.05 0.8
1 Lucene_BM25 81 0.04 0.8
1 Lucene_BM25 82 0.04 0.8
1 Lucene_BM25 83 0.04 0.8
1 Lucene_BM25 84 0.04 0.8
1 Lucene_BM25 85 0.04 0.8
1 Lucene_BM25 86 0.04 0.8
1 Lucene_BM25 87 0.04 0.8
1 Lucene_BM25 88 0.04 0.8
1 Lucene_BM25 89 0.04 0.8
1 Lucene_BM25 90 0.04 0.8
1 Lucene_BM25 91 0.04 0.8
1 Lucene_BM25 92 0.04 0.8
1 Lucene_BM25 93 0.04 0.8
1 Lucene_BM25 94 0.04 0.8
1 Lucene_BM25 95 0.04 0.8
1 Lucene_BM25 96 0.04 0.8
1 Lucene_BM25 97 0.04 0.8
1 Lucene_BM25 98 0.04 0.8
1 Lucene_BM25 99 0.04 0.8
1 Lucene_BM25 100 0.04 0.8
2 Lucene_BM25 1 1 0.33
2 Lucene_BM25 2 1 0.66
2 Lucene_BM25 3 0.66 0.66
2 Lucene_BM25 4 0.75 1
2 Lucene_BM25 5 0.6 1
2 Lucene_BM25 6 0.5 1
2 Lucene_BM25 7 0.42 1
2 Lucene_BM25 8 0.37 1
2 Lucene_BM25 9 0.33 1
2 Lucene_BM25 10 0.3 1
2 Lucene_BM25 11 0.27 1
2 Lucene_BM25 12 0.25 1
2 Lucene_BM25 13 0.23 1
2 Lucene_BM25 14 0.21 1
2 Lucene_BM25 15 0.2 1
2 Lucene_BM25 16 0.18 1
2 Lucene_BM25 17 0.17 1
2 Lucene_BM25 18 0.16 1
2 Lucene_BM25 19 0.15 1
2 Lucene_BM25 20 0.15 1
2 Lucene_BM25 21 0.14 1
2 Lucene_BM25 22 0.13 1
2 Lucene_BM25 23 0.13 1
2 Lucene_BM25 24 0.12 1
2 Lucene_BM25 25 0.12 1
2 Lucene_BM25 26 0.11 1
2 Lucene_BM25 27 0.11 1
2 Lucene_BM25 28 0.1 1
2 Lucene_BM25 29 0.1 1
2 Lucene_BM25 30 0.1 1
2 Lucene_BM25 31 0.09 1
