QueryId System Rank Precision Recall
1 Lucene_default 1 0 0
1 Lucene_default 2 0 0
1 Lucene_default 3 0.33 0.2
1 Lucene_default 4 0.25 0.2
1 Lucene_default 5 0.2 0.2
1 Lucene_default 6 0.16 0.2
1 Lucene_default 7 0.14 0.2
1 Lucene_default 8 0.12 0.2
1 Lucene_default 9 0.11 0.2
1 Lucene_default 10 0.1 0.2
1 Lucene_default 11 0.09 0.2
1 Lucene_default 12 0.08 0.2
1 Lucene_default 13 0.15 0.4
1 Lucene_default 14 0.14 0.4
1 Lucene_default 15 0.13 0.4
1 Lucene_default 16 0.12 0.4
1 Lucene_default 17 0.11 0.4
1 Lucene_default 18 0.11 0.4
1 Lucene_default 19 0.1 0.4
1 Lucene_default 20 0.1 0.4
1 Lucene_default 21 0.09 0.4
1 Lucene_default 22 0.09 0.4
1 Lucene_default 23 0.08 0.4
1 Lucene_default 24 0.08 0.4
1 Lucene_default 25 0.08 0.4
1 Lucene_default 26 0.07 0.4
1 Lucene_default 27 0.07 0.4
1 Lucene_default 28 0.07 0.4
1 Lucene_default 29 0.06 0.4
1 Lucene_default 30 0.1 0.6
1 Lucene_default 31 0.09 0.6
1 Lucene_default 32 0.09 0.6
1 Lucene_default 33 0.09 0.6
1 Lucene_default 34 0.08 0.6
1 Lucene_default 35 0.08 0.6
1 Lucene_default 36 0.08 0.6
1 Lucene_default 37 0.08 0.6
1 Lucene_default 38 0.07 0.6
1 Lucene_default 39 0.07 0.6
1 Lucene_default 40 0.07 0.6
1 Lucene_default 41 0.07 0.6
1 Lucene_default 42 0.07 0.6
1 Lucene_default 43 0.06 0.6
1 Lucene_default 44 0.06 0.6
1 Lucene_default 45 0.06 0.6
1 Lucene_default 46 0.06 0.6
1 Lucene_default 47 0.06 0.6
1 Lucene_default 48 0.06 0.6
1 Lucene_default 49 0.06 0.6
1 Lucene_default 50 0.06 0.6
1 Lucene_default 51 0.05 0.6
1 Lucene_default 52 0.05 0.6
1 Lucene_default 53 0.05 0.6
1 Lucene_default 54 0.05 0.6
1 Lucene_default 55 0.05 0.6
1 Lucene_default 56 0.05 0.6
1 Lucene_default 57 0.05 0.6
1 Lucene_default 58 0.05 0.6
1 Lucene_default 59 0.05 0.6
1 Lucene_default 60 0.05 0.6
1 Lucene_default 61 0.04 0.6
1 Lucene_default 62 0.04 0.6
1 Lucene_default 63 0.04 0.6
1 Lucene_default 64 0.04 0.6
1 Lucene_default 65 0.04 0.6
1 Lucene_default 66 0.04 0.6
1 Lucene_default 67 0.04 0.6
1 Lucene_default 68 0.04 0.6
1 Lucene_default 69 0.04 0.6
1 Lucene_default 70 0.04 0.6
1 Lucene_default 71 0.04 0.6
