QueryId System Rank Precision Recall
1 Stemming 1 0 0
1 Stemming 2 0 0
1 Stemming 3 0 0
1 Stemming 4 0 0
1 Stemming 5 0 0
1 Stemming 6 0 0
1 Stemming 7 0 0
1 Stemming 8 0 0
1 Stemming 9 0 0
1 Stemming 10 0 0
1 Stemming 11 0 0
1 Stemming 12 0 0
1 Stemming 13 0 0
1 Stemming 14 0 0
1 Stemming 15 0 0
1 Stemming 16 0 0
1 Stemming 17 0 0
1 Stemming 18 0 0
1 Stemming 19 0 0
1 Stemming 20 0 0
1 Stemming 21 0 0
1 Stemming 22 0 0
1 Stemming 23 0 0
1 Stemming 24 0 0
1 Stemming 25 0 0
1 Stemming 26 0 0
1 Stemming 27 0 0
1 Stemming 28 0 0
1 Stemming 29 0 0
1 Stemming 30 0 0
1 Stemming 31 0 0
1 Stemming 32 0 0
1 Stemming 33 0 0
1 Stemming 34 0 0
1 Stemming 35 0 0
1 Stemming 36 0 0
1 Stemming 37 0 0
1 Stemming 38 0 0
1 Stemming 39 0 0
1 Stemming 40 0 0
1 Stemming 41 0 0
1 Stemming 42 0 0
1 Stemming 43 0 0
1 Stemming 44 0 0
1 Stemming 45 0 0
1 Stemming 46 0 0
1 Stemming 47 0 0
1 Stemming 48 0 0
1 Stemming 49 0 0
1 Stemming 50 0 0
1 Stemming 51 0 0
1 Stemming 52 0 0
1 Stemming 53 0 0
1 Stemming 54 0 0
1 Stemming 55 0 0
1 Stemming 56 0 0
1 Stemming 57 0 0
1 Stemming 58 0 0
1 Stemming 59 0 0
1 Stemming 60 0 0
1 Stemming 61 0 0
1 Stemming 62 0 0
1 Stemming 63 0 0
1 Stemming 64 0 0
1 Stemming 65 0 0
1 Stemming 66 0 0
1 Stemming 67 0 0
1 Stemming 68 0 0
1 Stemming 69 0 0
1 Stemming 70 0 0
1 Stemming 71 0 0
1 Stemming 72 0 0
1 Stemming 73 0 0
1 Stemming 74 0 0
1 Stemming 75 0 0
1 Stemming 76 0 0
1 Stemming 77 0 0
1 Stemming 78 0 0
1 Stemming 79 0 0
1 Stemming 80 0 0
1 Stemming 81 0 0
1 Stemming 82 0 0
1 Stemming 83 0 0
1 Stemming 84 0 0
1 Stemming 85 0 0
1 Stemming 86 0 0
1 Stemming 87 0 0
1 Stemming 88 0 0
1 Stemming 89 0 0
1 Stemming 90 0 0
1 Stemming 91 0 0
1 Stemming 92 0 0
1 Stemming 93 0 0
1 Stemming 94 0 0
1 Stemming 95 0 0
1 Stemming 96 0 0
1 Stemming 97 0 0
1 Stemming 98 0 0
1 Stemming 99 0 0
1 Stemming 100 0 0
2 Stemming 1 0 0
2 Stemming 2 0 0
2 Stemming 3 0 0
2 Stemming 4 0 0
2 Stemming 5 0 0
2 Stemming 6 0 0
2 Stemming 7 0 0
2 Stemming 8 0 0
2 Stemming 9 0 0
2 Stemming 10 0 0
2 Stemming 11 0 0
2 Stemming 12 0 0
2 Stemming 13 0 0
2 Stemming 14 0 0
2 Stemming 15 0 0
2 Stemming 16 0 0
2 Stemming 17 0 0
2 Stemming 18 0 0
2 Stemming 19 0 0
2 Stemming 20 0.05 0.33
2 Stemming 21 0.04 0.33
2 Stemming 22 0.04 0.33
2 Stemming 23 0.04 0.33
2 Stemming 24 0.04 0.33
2 Stemming 25 0.04 0.33
2 Stemming 26 0.03 0.33
2 Stemming 27 0.03 0.33
2 Stemming 28 0.03 0.33
2 Stemming 29 0.03 0.33
2 Stemming 30 0.03 0.33
2 Stemming 31 0.03 0.33
2 Stemming 32 0.03 0.33
2 Stemming 33 0.03 0.33
2 Stemming 34 0.02 0.33
2 Stemming 35 0.02 0.33
2 Stemming 36 0.02 0.33
2 Stemming 37 0.02 0.33
2 Stemming 38 0.02 0.33
2 Stemming 39 0.02 0.33
2 Stemming 40 0.02 0.33
2 Stemming 41 0.02 0.33
2 Stemming 42 0.02 0.33
2 Stemming 43 0.02 0.33
2 Stemming 44 0.02 0.33
2 Stemming 45 0.02 0.33
2 Stemming 46 0.02 0.33
2 Stemming 47 0.02 0.33
2 Stemming 48 0.02 0.33
2 Stemming 49 0.02 0.33
2 Stemming 50 0.02 0.33
2 Stemming 51 0.01 0.33
2 Stemming 52 0.01 0.33
2 Stemming 53 0.01 0.33
2 Stemming 54 0.01 0.33
2 Stemming 55 0.01 0.33
2 Stemming 56 0.01 0.33
2 Stemming 57 0.01 0.33
2 Stemming 58 0.01 0.33
2 Stemming 59 0.01 0.33
2 Stemming 60 0.01 0.33
2 Stemming 61 0.01 0.33
2 Stemming 62 0.01 0.33
2 Stemming 63 0.01 0.33
2 Stemming 64 0.01 0.33
2 Stemming 65 0.01 0.33
2 Stemming 66 0.01 0.33
2 Stemming 67 0.01 0.33
2 Stemming 68 0.01 0.33
2 Stemming 69 0.01 0.33
2 Stemming 70 0.01 0.33
2 Stemming 71 0.01 0.33
2 Stemming 72 0.01 0.33
2 Stemming 73 0.01 0.33
